# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

 
  CCTV-1高清,igmp://239.255.2.2:8000

  CCTV-2高清,igmp://239.255.2.3:8006

  CCTV-3高清,igmp://239.255.3.83:7996

  CCTV-4高清,igmp://239.255.2.5:8018

  CCTV-5高清,igmp://239.255.3.84:7992

  CCTV-6高清,igmp://239.255.3.85:7988

  CCTV-7高清,igmp://239.255.2.8:8036

  CCTV-8高清,igmp://239.255.3.86:7984

  CCTV-9高清,igmp://239.255.2.10:8048

  CCTV-10高清,igmp://239.255.2.11:8054

  CCTV-11高清,igmp://239.255.3.34:9694

  CCTV-12高清,igmp://239.255.2.13:8066

  CCTV-13高清,igmp://239.255.2.14:8072

  CCTV-14高清,igmp://239.255.2.15:8078

  CCTV-15高清,igmp://239.255.3.35:9700

  CCTV-16高清,igmp://239.255.2.112:8660

  CCTV-17高清,igmp://239.255.3.36:9706

  CCTV-5+高清,igmp://239.255.2.18:8096

  CGTN,igmp://239.255.2.17:8090

  河北卫视高清,igmp://239.255.2.19:8102

  河北经济生活高清,igmp://239.255.2.20:8108

  河北都市高清,igmp://239.255.2.21:8114

  河北影视剧高清,igmp://239.255.2.22:8120

  河北少儿科教高清,igmp://239.255.2.23:8126

  河北文旅·公共高清,igmp://239.255.2.24:8132

  河北三农高清,igmp://239.255.2.25:8138

  中国交通频道,igmp://239.255.2.110:8648

  睛彩河北,igmp://239.255.2.26:8144

  三佳购物高清,igmp://239.255.2.27:8150

  优购物,igmp://239.255.2.28:8156

  中华特产,igmp://239.255.3.154:9988

  家有购物,igmp://239.255.2.30:8168

  聚鲨环球精选,igmp://239.255.2.31:8174

  优购物精选,igmp://239.255.3.248:10364

  央广购物,igmp://239.255.3.166:10036

  中视购物,igmp://239.255.2.135:8798

  河北杂技频道,igmp://239.255.3.52:9772

  石家庄新闻综合高清,igmp://239.255.2.33:8186

  石家庄城市服务,igmp://239.255.2.35:8198

  石家庄文化娱乐,igmp://239.255.2.34:8192

  承德新闻综合,igmp://239.255.2.38:8216

  承德旅游文化,igmp://239.255.2.39:8222

  张家口新闻综合,igmp://239.255.2.41:8234

  张家口公共,igmp://239.255.2.42:8240

  秦皇岛新闻综合,igmp://239.255.2.45:8258

  秦皇岛民生,igmp://239.255.2.46:8264

  唐山新闻综合,igmp://239.255.2.48:8276

  唐山生活服务,igmp://239.255.2.49:8282

  唐山影视,igmp://239.255.2.50:8288

  唐山公共,igmp://239.255.2.51:8294

  廊坊新闻,igmp://239.255.2.53:8306

  廊坊公共,igmp://239.255.2.54:8312

  沧州新闻综合,igmp://239.255.2.56:8324

  沧州公共,igmp://239.255.2.57:8330

  沧州影视娱乐,igmp://239.255.2.58:8336

  保定新闻综合,igmp://239.255.2.59:8342

  保定公共频道,igmp://239.255.2.60:8348

  保定生活健康,igmp://239.255.2.61:8354

  衡水新闻综合,igmp://239.255.2.62:8360

  衡水经济科教,igmp://239.255.2.64:8372

  邢台综合,igmp://239.255.2.65:8378

